Série;Nota Fiscal;Filial Origem
11;505684;973
11;505685;973
11;505686;973
11;505687;973
11;505689;973
11;505690;973
11;505691;973
11;505692;973
11;505693;973
11;505694;973
11;505695;973
11;505696;973
11;505697;973
11;505698;973
11;505699;973
11;505701;973
11;505704;973
11;505705;973
11;505706;973
11;505707;973
11;505708;973
11;505709;973
11;505711;973
11;505713;973
11;505714;973
11;505715;973
11;505716;973
11;505718;973
11;505719;973
11;505720;973
11;505721;973
11;505722;973
11;505723;973
12;491538;973
12;491697;973
12;491698;973
12;491699;973
12;491700;973
12;491701;973
12;491702;973
12;491846;973
12;491847;973
12;491848;973
12;491849;973
12;491850;973
12;491851;973
12;491853;973
12;491854;973
12;491855;973
12;491856;973
12;491857;973
12;491858;973
12;491861;973
12;491862;973
12;491863;973
12;491864;973
12;491866;973
12;491867;973
12;491868;973
12;491869;973
12;491870;973
12;491872;973
12;491873;973
12;491874;973
12;491875;973
12;491876;973
12;491879;973
12;491880;973
12;491881;973
12;491882;973
12;491883;973
12;491885;973
12;491886;973
12;491887;973
12;491888;973
12;491889;973
12;491891;973
12;491892;973
12;491893;973
12;491894;973
12;491895;973
12;491896;973
12;491898;973
12;491899;973
12;491900;973
12;491901;973
12;491902;973
12;491903;973
12;491904;973
12;491905;973
12;491906;973
12;491907;973
12;491908;973
12;491911;973
12;491912;973
12;491913;973
12;491914;973
12;491915;973
12;491916;973
12;491917;973
12;491918;973
12;491919;973
12;491921;973
12;491922;973
12;491923;973
12;491925;973
12;491926;973
12;491927;973
12;491928;973
12;491931;973
12;491932;973
12;491933;973
12;491934;973
12;491935;973
12;491937;973
12;491938;973
12;491939;973
12;491940;973
12;491941;973
12;491942;973
12;491944;973
12;491946;973
12;491947;973
12;491948;973
12;491949;973
12;491950;973
12;491951;973
12;491952;973
12;491953;973
12;491954;973
12;491956;973
12;491957;973
12;491958;973
12;491959;973
12;491960;973
12;491961;973
12;491962;973
12;491963;973
12;491965;973
12;491966;973
12;491967;973
12;491968;973
12;491969;973
12;491970;973
12;491972;973
12;491973;973
12;491974;973
12;491975;973
12;491976;973
12;491977;973
12;491979;973
12;491980;973
12;491981;973
12;491982;973
12;491983;973
12;491984;973
12;491985;973
12;491987;973
12;491988;973
12;491989;973
12;491990;973
12;491991;973
12;491992;973
12;491993;973
12;491995;973
12;491996;973
12;491997;973
12;491998;973
12;491999;973
12;492000;973
12;492001;973
12;492003;973
12;492004;973
12;492005;973
12;492006;973
12;492007;973
